,Number,Strain,Max.Parasitemia,Max.Weight.Delta,Max.RBC.Delta,Max.Temp.Delta,Immune.Intensity,Max.Parasitemia.zscore,Max.Weight.Delta.zscore,Max.RBC.Delta.zscore,Max.Temp.Delta.zscore,Immune.Intensity.zscore,IAV_log_titre,IAV_weight,IAV_clinical,IAV_airway_infiltration,cov_titre, cov_weight,cov_survival,TB_ave_weight,TB_ave_log_spleen_cfu,TB_ave_log_lung_cfu
0,84,CAST/EiJ,0.5024,1.0999999999999996,14857.0,9.0,6358.952,1.863220458850154,-0.4290805487544464,0.7571903133986843,1.872464228529406,1.6351308927513353,,,,,,,,,,
0,85,CAST/EiJ,0.3333,5.4,14860.0,9.8,4705.96,0.3821097689649042,2.7784876052889893,0.7582425744122903,2.1670085400987675,0.4949098959930628,,,,,,,,,,
0,87,CAST/EiJ,0.4539,1.3000000000000007,13287.0,14.4,3366.8116,1.4384193443650295,-0.2798913322873091,0.2065070496115075,3.8606383316225945,-0.4288242318522296,,,,,,,,,,
0,88,WSB/EiJ,0.0305,0.0,7683.0,3.5,6455.0,-2.270050591160783,-1.2496212393236972,-1.7591165238046316,-0.1525279135099528,1.7013840544705925,5.55,85.83,3.0,1.17,101500.0,72.39,2.0,-30.0,7.043,8.3645
0,89,WSB/EiJ,0.0416,1.0,9687.0,2.1000000000000014,7894.0,-2.172828068051816,-0.5036751569880145,-1.0562061667157767,-0.6679804587563346,2.6939950376666117,5.55,85.83,3.0,1.17,101500.0,72.39,2.0,-30.0,7.043,8.3645
0,90,WSB/EiJ,0.0353,0.5999999999999996,8428.0,3.1000000000000014,7216.8614,-2.2280084190055542,-0.8020535899222878,-1.4978050387591242,-0.299800069294633,2.2269101095874064,5.55,85.83,3.0,1.17,101500.0,72.39,2.0,-30.0,7.043,8.3645
0,91,WSB/EiJ,0.0042,0.4000000000000003,8985.0,1.2000000000000028,6087.0,-2.5004066594279744,-0.9512428063894238,-1.3024352438995972,-0.9993428092718656,1.4475405229791851,5.55,85.83,3.0,1.17,101500.0,72.39,2.0,-30.0,7.043,8.3645
0,92,WSB/EiJ,0.3004,0.9000000000000004,11481.0,3.1000000000000014,5316.0,0.0939457139842732,-0.5782697652215825,-0.4269540805793467,-0.299800069294633,0.9157107328164816,5.55,85.83,3.0,1.17,101500.0,72.39,2.0,-30.0,7.043,8.3645
0,169,PWK/PhJ,0.6325,0.9000000000000004,5387.0,2.0,6466.477500000001,3.0027384999741695,-0.5782697652215825,-2.5644469528844773,-0.7047984977025052,1.709301144505084,2.01,97.39,0.0,1.5,1750.0,73.81,2.0,0.170333333,6.888333333,6.573333333
0,170,PWK/PhJ,0.7115,1.6999999999999993,10712.0,14.799999999999995,5456.2905,3.694682583362312,0.0184871006469628,-0.6966836537337028,4.007910487407274,1.0124820261716316,2.01,97.39,0.0,1.5,1750.0,73.81,2.0,0.170333333,6.888333333,6.573333333
0,171,PWK/PhJ,0.5996,3.0999999999999996,9368.0,11.1,4116.5724,2.714574444993539,1.062811615916919,-1.1680965878292222,2.64564304639898,0.0883549237070711,2.01,97.39,0.0,1.5,1750.0,73.81,2.0,0.170333333,6.888333333,6.573333333
0,172,PWK/PhJ,0.6104,3.5,10026.0,13.000000000000004,4255.974,2.809169332342804,1.3611900488511923,-0.9373006721782908,3.345185786376214,0.1845130607710727,2.01,97.39,0.0,1.5,1750.0,73.81,2.0,0.170333333,6.888333333,6.573333333
