,Number,Strain,Max.Parasitemia,Max.Weight.Delta,Max.RBC.Delta,Max.Temp.Delta,Immune.Intensity,Max.Parasitemia.zscore,Max.Weight.Delta.zscore,Max.RBC.Delta.zscore,Max.Temp.Delta.zscore,Immune.Intensity.zscore
0,24,DO,0.342915811,1.8999999999999986,11857.0,6.599999999999994,2363.549669084,0.46633259843868435,0.1676763171140989,-0.29507070020738596,0.9888312938213201,-1.120866491511484
0,25,DO,0.345794393,0.1999999999999993,15642.0,2.200000000000003,3963.0,0.49154548177346385,-1.1004320228565612,1.0325319452922725,-0.631162419810164,-0.017578120737523927
0,26,DO,0.274611399,1.139999999999997,14191.0,2.0,2877.113989363,-0.1319311199499993,-0.39924270546102114,0.5235883683781366,-0.7047984977025052,-0.7666138265451647
0,27,DO,0.547945205,6.140000000000001,11954.0,12.300000000000004,4098.589043135,2.262141156653319,3.330487706217395,-0.2610475941007897,3.087459513753023,0.07595014431934868
0,28,DO,0.210268949,4.509999999999998,12567.0,1.9000000000000057,3039.163811776,-0.6954928615727501,2.11459559201023,-0.046035593653949346,-0.7416165366486733,-0.654833122200406
0,29,DO,0.271186441,4.300000000000001,11012.0,2.1999999999999957,4441.235292276,-0.16192959367092166,1.9579469147197388,-0.5914575523730957,-0.6311624198101665,0.3123048560971641
0,30,DO,0.34025974,2.770000000000003,15006.0,4.899999999999999,3686.3376634,0.4430686413056609,0.8166494087461462,0.8094526104077857,0.36292463173642886,-0.208417643979938
0,31,DO,0.342175066,2.4700000000000024,16051.0,2.9000000000000057,3864.412763104,0.45984457160261677,0.5928655840454409,1.1759901968139002,-0.37343614718697177,-0.08558282827464507
0,32,DO,0.289256198,4.529999999999998,10794.0,6.100000000000001,2808.640092492,-0.003660461463181536,2.1295145136569436,-0.6679218526951368,0.8047410990904719,-0.81384658686232
0,33,DO,0.311953353,2.389999999999997,14067.0,4.100000000000001,8851.769229958,0.19513905894180017,0.5331898974585823,0.48009491314908576,0.06838032016706863,3.3546567868142865
0,34,DO,0.257847534,2.120000000000001,14739.0,2.1000000000000014,4850.440945866,-0.27876222376604415,0.3317844552279509,0.7158013801968455,-0.6679804587563346,0.5945717262426398
0,35,DO,0.248780488,3.520000000000003,13937.0,3.1000000000000014,3172.872692379,-0.3581785381142481,1.3761089704979081,0.43449693589282273,-0.299800069294633,-0.5626017786025026
0,36,DO,0.328244275,1.8300000000000018,14894.0,4.399999999999999,3648.5763351,0.33782775629417616,0.11546009135060355,0.770168199233159,0.17883443700557808,-0.23446511389699898
0,37,DO,0.00408998,3.1400000000000006,7689.0,1.3999999999999986,3036.10837864,-2.5013703010489157,1.0926494592103468,-1.7570120017774196,-0.9257067313795267,-0.6569407361609443
0,38,DO,0.217557252,2.41,9869.0,0.0,2937.904579524,-0.6316561762716103,0.5481088191052982,-0.9923689985570084,-1.4411592766259085,-0.7246809513062654
0,39,DO,0.453703704,2.2600000000000016,14772.0,3.299999999999997,4755.83827643,1.4367000297347412,0.4362169067549469,0.7273762513465123,-0.22616399140229423,0.52931554228028
0,40,DO,0.336363636,2.8000000000000007,12722.0,3.5,3282.621622464,0.40894350065927054,0.839027791216215,0.008331225382364282,-0.15252791350995287,-0.4868978221074482
