,a,b,c,d,g,rD,rI,I_max,E,I,M,D,D.zscore,M.zscore,I.zscore
28,7.007039722651742,5.109424222360683,2.81363842367631,1.2965432950861961,0.3,0.9546604121463748,0.1,6.083185386962443,15.678987493140307,5.197899440359006,1.4153190550266976,1.364546963836796,-0.21129640047416423,-0.0908418785862191,0.055571852321196075
29,6.403258579234942,5.901363966054689,2.9619972063984665,2.7057435479200973,0.3,1.0462852157068985,0.1,9.865726670980559,19.760400839660925,6.917541818828241,1.2192442163276875,1.6401763391768478,0.3639061712611193,-0.5946668465371171,1.4075536092177914
30,5.614547270893385,4.777301028773992,3.3758427228438888,0.6225392005599346,0.3,0.9744298252512003,0.1,8.220641545551882,16.129478209677206,5.3989561906013055,1.2042006340252842,1.333846527469793,-0.2753642086673553,-0.6333221498981461,0.21364254296704618
31,6.472297667273211,2.4521356447847973,4.865841185022904,2.5850880370228078,0.3,0.9710576848343406,0.1,10.884220294652033,14.166309017992985,4.510854814584362,1.2528597585115895,1.1603686494869008,-0.6373899232046096,-0.5082898816198844,-0.48458220055113177
32,6.117154068155177,5.712524329513058,3.8152667079671896,2.7888992211127563,0.3,0.9063648850464343,0.1,4.608334220336543,12.514051320027667,3.828114986277323,1.2895863832112036,1.132361807287283,-0.6958365515421355,-0.413918820881018,-1.0213518243606463
33,6.432203464554766,1.8740766003006035,3.0580796499561105,2.9351106598554737,0.3,1.0677809895470245,0.1,4.4124328944286795,13.917862363911182,3.629125824735283,2.0910924471849124,2.2884867562525164,1.7168454895925902,1.6455946265016776,-1.1777969780701454
34,6.097671157341779,5.963657973877583,3.1224729426583018,3.5013407686043116,0.3,1.0467252225969117,0.1,10.770102433445679,20.12967328335466,7.08140394544245,1.1821033306815454,1.6799645020821083,0.446938879946443,-0.6901023733211563,1.5363819101496963
35,7.513753982927781,4.484232223671315,4.714785466469502,1.6526644642079176,0.3,0.8495177455527149,0.1,4.871732001699619,12.048465467338627,3.730177183800757,1.4050688143933756,1.090040117526254,-0.7841564004722191,-0.11718042968659818,-1.0983504630989671
36,7.305942519558528,2.736236869470617,4.467042704707912,0.5699318939649634,0.3,1.15205287680126,0.1,9.71951123507393,15.420348499311794,4.836724560086767,1.3422753086524257,1.0386878719332204,-0.8913218420839957,-0.27853175975717254,-0.22838361149567454
37,5.941984031637986,4.079460399062434,2.4126131607079278,1.0412437215645824,0.3,1.1582713492334114,0.1,8.83654945552965,18.869593886604203,6.373298063865242,1.3029341745713647,1.389912361940071,-0.15836212159299376,-0.37962094462688123,0.9796695112055843
